epoch	train_loss	test_loss	mAP	F1-score
1	0.5755	0.4393	0.1299	0.0498
2	0.3829	0.3132	0.3557	0.1033
3	0.2912	0.2675	0.4041	0.1403
4	0.2429	0.2477	0.4174	0.1673
5	0.2081	0.2393	0.4224	0.1872
6	0.1810	0.2372	0.4217	0.2029
7	0.1574	0.2371	0.4185	0.2183
8	0.1376	0.2359	0.4259	0.2321
9	0.1205	0.2423	0.4214	0.2415
10	0.1068	0.2465	0.4230	0.2557
11	0.0944	0.2515	0.4207	0.2639
12	0.0845	0.2616	0.4198	0.2762
13	0.0761	0.2642	0.4189	0.2821
14	0.0689	0.2721	0.4180	0.2918
15	0.0634	0.2834	0.4185	0.2995
16	0.0589	0.2894	0.4184	0.3036
17	0.0550	0.2908	0.4174	0.3071
18	0.0524	0.2948	0.4189	0.3122
19	0.0505	0.3007	0.4173	0.3147
20	0.0491	0.3016	0.4176	0.3157
