epoch	train_loss	test_loss	mAP	F1-score
1	0.5784	0.4441	0.1148	0.0481
2	0.3921	0.3217	0.3392	0.0982
3	0.3015	0.2766	0.3898	0.1320
4	0.2527	0.2564	0.4032	0.1582
5	0.2193	0.2466	0.4146	0.1754
6	0.1923	0.2391	0.4158	0.1941
7	0.1696	0.2388	0.4175	0.2059
8	0.1504	0.2406	0.4153	0.2188
9	0.1325	0.2426	0.4159	0.2287
10	0.1184	0.2449	0.4153	0.2414
11	0.1064	0.2516	0.4150	0.2511
12	0.0956	0.2571	0.4137	0.2588
13	0.0871	0.2571	0.4139	0.2658
14	0.0795	0.2690	0.4120	0.2742
15	0.0738	0.2716	0.4137	0.2810
16	0.0689	0.2816	0.4111	0.2865
17	0.0651	0.2870	0.4129	0.2911
18	0.0621	0.2887	0.4110	0.2946
19	0.0597	0.2902	0.4125	0.2970
20	0.0583	0.2909	0.4124	0.2971
