epoch	train_loss	test_loss	mAP	F1-score
1	0.6246	0.4957	0.0580	0.0386
2	0.4556	0.3874	0.2577	0.0668
3	0.3588	0.3232	0.3399	0.0976
4	0.3018	0.2921	0.3663	0.1201
5	0.2636	0.2743	0.3821	0.1386
6	0.2348	0.2629	0.3884	0.1536
7	0.2095	0.2586	0.3909	0.1672
8	0.1889	0.2536	0.3891	0.1785
9	0.1702	0.2544	0.3884	0.1867
10	0.1553	0.2557	0.3893	0.1969
11	0.1408	0.2589	0.3925	0.2076
12	0.1294	0.2629	0.3912	0.2178
13	0.1188	0.2579	0.3944	0.2214
14	0.1102	0.2636	0.3919	0.2269
15	0.1029	0.2668	0.3935	0.2373
16	0.0966	0.2748	0.3921	0.2446
17	0.0914	0.2737	0.3918	0.2462
18	0.0873	0.2811	0.3922	0.2529
19	0.0838	0.2796	0.3953	0.2549
20	0.0813	0.2821	0.3940	0.2563
21	0.0798	0.2826	0.3935	0.2569
